nama,vote_average,vote_count,type,htm_weekday,htm_weekend,latitude,Address,longitude,description,,
Wisata Alam Watu Amben,4.4,2235,"Alam, Buatan",0,0,-78.576.729,"Jalan Dlingo-Pathuk, Area Kebun, Srimulyo, Piyungan, Bantul, DIY",1.104.727.388,"Watu Amben Jogja merupakan sebuah wisata alam dimana kamu bisa menikmati lampu kota Yogyakarta di malam hari. Salah satu wisata alam unik dari Jogja adalah Watu Amben Jogja. Objek wisata ini tidak hanya memiliki unsur alam namun juga unsur buatan. Objek wisata ini termasuk ke dalam komplek perbukitan Bukit Bintang Gunung Kidul. Dari atas bukit ini, kamu bisa melihat indahnya pemandangan alam dan pemandangan kota Jogja. Apalagi kalau dinikmati pada malam hari, kamu bisa melihat kelap-kelip lampu Kota Jogja. Tempat ini pun menjadi pilihan tempat nongkrong asyk bagi para masyarakat Jogja khususnya para anak muda. Ya, karena selain menikmati pemandangan, kamu juga bisa menikmati hidangan lezat khas Jogja.",,
Candi Sojiwan,4.5,2159,Budaya dan Sejarah,5000,5000,-77.603.952,"Jl. Banjarsari No.12 RT 03/RW.03, Desa Kebon Dalem Kidul, Kecamatan Prambanan, Kabupaten Klaten",1.104.962.014,"Candi Sojiwan memiliki keunikan. Keunikan ini berasal dari beberapa panel relief yang bercerita tentang cerita-cerita binatang. Jika dipahami lebih dalam cerita-cerita ini menyampaikan pesan-pesan moral yang tidak lekang oleh waktu. Pesan-pesan moral ini juga sangat berguna untuk menjalani kehidupan sehari-hari. Setelah dilakukan penelitian, terdapat beberapa temuan menarik. Salah satunya adalah parit keliling. Parit keliling ini sebagian berada di pemukiman warga. Di dalam parit kelagian ditemukan arca, pondasi candi, struktur pagar, batu candi (lepas), struktur dan batu candi di sekitar permukiman warga yang berada di sebelah selatan candi Induk. Candi Sojiwan berada di kawasan Siwa Plateu yang banyak terdapat candi baik candi berlatar belakang agama hindu maupun budha. Hal ini menunjukkan bahwa sejak dulu nenek moyang kita telah hidup harmonis dan sangat toleran. Nilai-nilai toleransi ini sangat dibutuhkan masyarakat Indonesia sekarang ini mengingat kita berbeda-beda keyakinan.",,
Goa Selarong,4.3,2116,Alam,6000,6000,-7.860.965.268,"Dusun Kembang Putihan desa Gowasari, Kecamatan Pajangan, Kabupaten Bantul, Yogyakarta",1.103.145.237,"Gua Selarong atau bisa disebut Gua Diponegoro, adalah gua berBudaya dan Sejarah sekaligus tempat wisata alam dan religius. Goa Selarong merupakan sebuah goa kecil yang berada di Dusun Kembangputihan, Kecamatan Pajangan, Bantul. Lokasinya cukup mudah dijangkau karena tak jauh dari Kota Bantul, DIY. Di Goa Selarong, terdapat dua goa, yaitu Goa Kakung dan Goa P Sekilas, tak ada tampilan yang menarik secara visual dari kedua goa tersebut. Namun, goa itu menyimpan peristiwa besar yang menjadi bagian dari Budaya dan Sejarah bangsa Indonesia. Terutama kisah kepahlawanan Pangeran Diponegoro yang menjadi tokoh besar saat meletusnya Perang Jawa pada 1825-1830.utri.",,
Waduk Sermo,4.5,2057,"Buatan, Wisata Air",5000,5000,-7.821.219.329,"Dusun Sermo,Desa Hargowilis,Kecamatan Kokap,Kabupaten Kulon Progo",1.101.149.803,"Waduk Sermo merupakan sebuah waduk yang berada di Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta, waduk seluas 157 hektar ini dibangun mulai pada tahun 1994 dan diresmikan oleh Presiden Indonesia ke-2 saat itu yaitu Presiden Soeharto pada 20 November 1996. Waduk ini dibangun dengan membendung Kali Ngrancah di Desa Hargowilis Kecamatan Kokap, adanya pembangunan waduk ini juga mengahruskan pemerintah melakukan program transmigrasi, sebanyak 100 kk di transmigrasikan ke Tak Toi Bengkulu. Ada banyak hal yang bisa sobat semua lakukan di tempat ini, yang pertama yaitu berfoto di spot foto menarik, terdapat berbagai macam spot foto menarik yang bisa dimanfaatkan pengunjung di tempat ini. Selanjutnya bagi sobat semua yang hobi memancing ikan tak ada salahnya mencoba memburu ikan â€?Setan Merahâ€? yaitu ikan predator yang ada di waduk ini, Ikan Merah merupakan primadona dikalangan pemancing di Waduk Sermo ini.",,
Pantai Glagah,4.4,2004,Pantai,6000,6000,-79.119.427," Glagah, Temon, Kulon Progo, DI Yogyakarta",1.100.647.339,"Pantai Glagah Indah adalah salah satu pantai yang menjadi objek wisata di provinsi Daerah Istimewa Yogyakarta. Pantai Glagah Indah merupakan salah satu pantai di Yogyakarta dengan hamparan pasir yang berwarna hitam dan banyak mengandung pasir besi. Pantai Glagah Indah memiliki akses yang baik. Pantai Glagah dikenal sebagai salah satu pantai di Jogja yang memiliki ombak cukup besar. Oleh sebab itu, di kawasan pantai pun dibangun tetrapod.",,
Grojogan Watu Purbo Bangunrejo,4.5,1927,Alam,5000,5000,-76.340.196,"Bangunrejo, Merdikorejo, Tempel, Sleman, Daerah Istimewa Yogyakarta",1.103.383.881,"Tempat ini menjanjikan spot foto selfi yang begitu menarik dan aliran sungai serta taman bunga yang indah. Pun, wisatawan dapat menikmati kuliner pedesaan yang menggugah selera dengan dilatarbelakangi birunya Gunung Merapi. Destinasi yang masih terhitung baru ini sebenarnya adalah aliran sungai Kali Krasak yang berhulu di Gunung Merapi. Aliranya terbentuk dari 6 buah sabo dam yang tersusun bertingkat dengan ketinggian 3 sampai 7 meter sehingga tercipta air terjun atau dalam bahasa Jawa disebut grojogan. ",,
Kebun Buah Mangunan,4.5,1887,Agrowisata,5000,6000,-7.939.896,"Jl. Imogiri – Dlingo, Sukorame, Mangunan, Dlingo, Bantul",110.424.336,"Kebun Buah Mangunan adalah salah satu tempat wisata di kawasan Mangunan, Dlingo, Kabupaten Bantul, Yogyakarta. Kawasan wisata yang terkenal sebagai salah satu spot Negeri di Atas Awan ini terletak sekitar 25 kilometer (km) dari kota Yogyakarta. Dengan waktu tempuh kurang lebih satu jam perjalanan, Kebun Buah Mangunan bisa jadi alternatif tempat wisata bersama keluarga di akhir pekan.",,
Pantai Ngrenehan,4.4,1876,Pantai,5000,5000,-81.211.475,"Desa Kanigoro, Kecamatan Saptosari, Kabupaten Gunungkidul",1.105.142.337,"Pantai Ngrenehan merupakan pantai nelayan. Terletak di desa Kanigoro Kecamatan Saptosari kurang lebih 30 km di sebelah selatan kota Wonosari. Suatu pantai berupa teluk yang dikelilingi hamparan perbukitan kapur dan memiliki panorama yang sangat memukau dengan deburan ombak menerpa pasir putih. Pantai ini diapit oleh dua bukit karang yang cukup besar dan menjorok ke laut. Di pantai ini, pengunjung dapat mengamati langsung kegiatan nelayan tradisional. Juga bisa menikmati ikan segar yang baru saja diangkat dari kedalaman laut selatan.",,
Tirtonirmolo Water Park Galuh,4.2,1857,Wisata Air,30000,30000,-7.748.672,"Jl. Manisrenggo No. KM 1, Dusun Pemuktibaru, Desa Tlogo, Kecamatan Prambanan, Kabupaten Klaten",110.501.128,"Tirtonirmolo Water Park Galuh merupakan gabungan dari hotel galuh yang berada di sisi selatan Tirtonirmolo Water Park Galuh. Wisatawan dapat menikmati berbagai wahana di sekitar Tirtonirmolo Water Park. Bukan hanya air saja disini juga terdapat 12 kolam yaitu kolam renang dewasa, kolam renang seluncur, anak-anak, mandi bola, kolam keluarga, kolam arus, kolam ember tumpah, kolam renang songsong gora, kolam renang laba-laba, kuda laut, dan kolam air mancur. Wisata ini cocok didatangi bersama keluarga maupun teman.",,
Affandi Museum,4.6,1848,"Budaya dan Sejarah, Museum",30000,30000,-7.782.713,"Jl. Laksda Adisucipto No.167, Papringan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta",110.396.397,"Museum Affandi merupakan salah satu museum seni di Daerah Istimewa Yogyakarta, Indonesia. Museum yang berada di tepi Sungai Gajah Wong ini menyimpan berbagai macam lukisan karya Affandi. Selain itu, museum ini juga menyimpan banyak benda peninggalan Affandi lainnya seperti mobil, sepeda onthel dan masih banyak lagi. Ada lebih dari 300 lukisan termasuk beberapa potret diri dan karya dari seniman terkenal lainnya seperti Sudjojono, Hendra Gunawan, dan Barli. Jangan lupa untuk mengambil foto rumah Affandi yang ikonis dengan atap yang berbentuk pelepah pisang.",,
Museum Monumen Pangeran Diponegoro,4.4,1778,"Budaya dan Sejarah, Museum",0,0,-77.865.891,"Jl. HOS Cokroaminoto TR-III/430, Tegalrejo, Tegalrejo",1.103.514.473,"Museum Monumen Pangeran Diponegoro adalah museum sekaligus monumen kediaman Pangeran ketika dikepung oleh pihak Belanda. Museum ini berisi berbagai peninggalan Pangeran Diponegoro. Di museum ini juga terdapat pendapa dan pringgitan yng didalamnya berisi benda-benda berBudaya dan Sejarah.  Benda berBudaya dan Sejarah tersebut berupa berbagai jenis senjata tradisional seperti keris, tombak, pedang, panah, dan masih banyak lagi senjata yang dikoleksi di dalam museum ini. i Museum Monument Pangeran Diponegoro ini juga terdapat dinding yang berlubang yang menjadi jalan keluar Pangeran Diponegoro untuk bisa lolos dari kepungan penjajah Belanda. Di museum ini juga terdapat barang peninggalan milik Sri Sultan Hamengku Buwono II yaitu ketipung dan wilahan bonang penembung yang terbuat dari kayu dan perunggu yang berwarna merah dan kuning, barang peninggalan Sri Sultan HB II yang ada mencapai lebih dari 100 buah. Disana juga terdapat dua senjata meriam yang terletak di depan dan disebelah timur pendopo, serta ada berbagai macam peralatan rumah tangga seperti tempat menaruh siri, canting, teko dan bokor.",,
Puncak Kebun Buah Mangunan,4.6,1773,Agrowisata,8000,8000,-79.413.718,"Desa Mangunan, di Kecamatan Dlingo",1.104.247.345,"Objek wisata ini menawarkan keindahan berupa panorama alam dataran tinggi yang hijau dan masih sangat alami. Selain itu, dari sana kamu juga bisa menikmati landscape Kota Bantul dengan segala rutinitas penduduknya, landscape yang sangat cantik dan mempesona. Dari kawasan wisata ini kamu juga bisa menyaksikan gagahnya gunung Sewu yang berada di seberang. Beberapa tanaman yang bisa kamu amati dan pelajari yakni pohon rambutan, durian, manggis, jeruk, mangga, pohon pinus, king grass atau rumput raja, salak magium, duku, sawo, cempedak, jambu biji, dan masih banyak yang lainnya. Disana wisatawan dapat berburu aneka buah-buahan, camping, melihat watu tumpang yaitu batu besar yang menumpang di atas batu kecil, memancing, bersepeda, berenang, belajar pembibitan sapi, flying fox.",,
Lava Tour Merapi,4.6,1714,Alam,350000,350000,-75.934.503,"Desa Kaliurang, Kecamatan Pakem, Kabupaten Sleman, DI Yogyakarta",1.104.316.004,Lava Tour Merapi bisa menjadi pilihan aktivitas wisata ketika berlibur di Yogyakarta. Lava Tour Merapi adalah istilah untuk tur wisata kawasan terdampak erupsi Gunung Merapi tahun 2010. Tur yang dimaksud saat ini merupakan tur menggunakan mobil jenis jeep. Kegiatan tur meliputi kunjungan ke sejumlah titik yang terkena dampak langsung erupsi. Ada berbagai macam paket yang disediakan.,,
Museum Sonobudoyo Unit I,4.6,1711,"Budaya dan Sejarah, Museum",3000,3000,-78.024.499,"Jalan Trikora No.6, Ngupasan, Gondomanan, Yogyakarta",1.103.639.555,"useum Sonobudoyo unit pertama yang ada di dekat Alun-Alun Keraton Yogyakarta yang memiliki bentuk seperti bangunan rumah joglo dengan gaya Masjid Keraton Kasepuhan Cirebon. di museum ini terdapat koleksi alat musik seperti replika andong, wayang Rama, Sinta dan juga Lesmana, Anoman hingga Rahwana. Kemudian koleksi keris, koleksi batik dan koleksi buku kebudayaan.",,
Museum Factory Dan Kedai Chocolate Monggo,4.6,1704,Agrowisata,15000,15000,-78.408.737," Jl. Tugu Gentong No.RT 03, Sribitan, Bangunjiwo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta",110.298.431,"Disini wisatawan dapat belajar mengenai Budaya dan Sejarah cokelat, melihat langsung pembuatan cokelat di pabrik, dan langsung bisa mempraktekkan membuat cokelat. Cokelat Monggo ini dibuat dari warga negara Belgia, yang terinspirasi karena rasa rindunya akan rasa cokelat Belgia.",,
Kawasan Pantai Baron,4.4,1698,Alam,10000,10000,-81.288.246,"Desa Kemadang, Kecamatan Tanjungsari, Kabupaten Gunungkidul",1.105.487.763,"Objek wisata Pantai Baron merupakan pantai yang membentuk cekungan. Seperti pantai lainnya, di Pantai Baron tersedia aneka ikan laut beserta olahannya. Ikan yang biasanya dijual di Pantai Baron adalah udang windu, kakap, bawal putih dan tongkol. Pantai Baron memiliki fasilitas berupa tempat pelelangan ikan, wahana permainan anak-anak, perahu bermesin, dan toko cenderamata. Buah sirkaya, pisang tanduk, sirsak, dan berbagai macam cenderamata yang terbuat dari kerang laut.",,
Kids Fun Galleria Mall,4.4,1693,Buatan,60000,60000,-77.823.797,"Jl. Jend. Sudirman No.99 - 101, Terban, Yogyakarta",1.103.791.605,"Kids Fun cabang Galeria Mall menawarkan tema Wild Wild West yang membawa kita ke dunia barat dimana kaum koboi dan Indian bertemu. Tidak hanya sekedar nama, desain interiornya pun disesuai dengan tema yang diusung. Di beberapa bagian diletakkan patung koboi dan Indian untuk memperkuat suasana. Belum lagi area counter yang sekilas mirip bar di film-film bertema sejenis.",,
Taman Bunga Amarilis,4.2,1641,Agrowisata,10000,10000,-78.563.245,"Jalan Jogja -Wonosari km 21, Dusun Ngasemayu, Desa Salam, Kecamatan Patuk, Gunungkidul, Yogyakarta",1.104.991.167,"Taman Bunga Amarlis dapat dikatakan wisata tahunan, karena bunga mekar setiap tahun. Namun, jangka mekarnya sangat pendek, sehingga pengunjung harus segera datang ketika mekar. Dan dari tahun ke tahun, kondisi taman bunga sudah semakin baik. Jalan setapak yang sudah rata dengan semen telah disediakan. Sehingga, pengunjung tidak perlu khawatir becek atau kotor karena tanah. Taman pun telah dibentuk dengan kotak-kotak yang membuatnya tampak tertata rapi. Taman bunga telah dilengkapi dengan jalan setapak yang membantu akses pengunjung lebih dekat dengan bunga. Jadi, angle ketika berfoto lebih terlihat indah. Taman bunga juga dibentuk sehingga tidak monoton hanya satu lahan seperti sawah.",,
Tegaldowo Puspa Gading Park,4.4,1635,Buatan,10000,10000,-78.656.715,"Jl. Grujugan, Grujugan, Bantul, Kec. Bantul, Bantul, Daerah Istimewa Yogyakarta",1.103.228.654,"Satu lagi obyek wisata alternatif karya dari warga hadir di Kabupaten Bantul, destinasi baru tersebut telah menjadi viral di media sosial (medsos) namanya Taman Puspa Gading berlokasi di Dusun Tegaldowo, Dukuh Grojogan, Kecamatan Bantul, Bantul, DIY. Taman Puspa Gading berada di pinggiran sungai Bedog, selain berupa taman untuk berswafoto berlatar belakang hamparan sawah dengan berhiaskan patung kadal raksasa dan jembatan gantung yang membentang di atas sungai. Taman Puspa Gading juga memiliki beberapa wahana permainan anak, diantaranya kolam renang, mandi bola, terapi ikan, foto dengan badut kelinci, motor apv, menangkap ikan, dan wahana melukis.",,
Bendungan Kamijoro,4.3,1563,Buatan,0,0,-78.787.758,"Kaliwiru, Tuksono, Sentolo, Kulon Progo, DI Yogyakarta, Indonesia",1.102.662.888,"Bendungan Kamijoro adalah bendungan yang menahan aliran sungai Progo dan mengalirkan sebagian airnya untuk pengairan areal persawahan. Tapi Bendungan Kamijoro bukan sembarang bendungan, di atas bendungan ini terbentang jembatan sepanjang 161 meter dengan lebar 3 meter. Jembatan Bendungan Kamijoro menghubungkan Bantul dan Kulon Progo tepatnya di Dusun Plambongan, Desa Triwidadi, Kecamatan Pajangan, Kabupaten Bantul dengan Dusun Kaliwiru, Desa Tuksono, Kecamatan Sentolo, Kulon Progo. Tanpa jembatan itu, orang harus memutar sangat jauh. Jembatan ini menjadi landscape baru untuk Bantul dan Kulon Progo. Bentuknya mirip jembatan Ampera di Palembang, lengkap dengan tiang yang menjulang tinggi dan hiasan tali-tali baja yang seolah menyangga beban jembatan. Bendungan ini jadi salah satu daya tarik wisata sekaligus mampu menggerakkan ekonomi mikro masyarakat di sekitarnya. Karena banyak yang berkunjung ke sana, masyarakat setempat memanfaatkan kesempatan itu untuk berjualan aneka jajanan dan makanan. Bendungan Kamijoro diresmikan langsung oleh Presiden Joko Widodo pada akhir 2019 lalu dan hingga kini jadi salah satu magnet wisata di Kulon Progo dan Bantul. Selain jembatan yang cantik, ada juga Taman Bendungan Kamijoro yang bisa jadi pilihan tempat untuk bersantai, duduk dan menikmati hembusan angin bendungan yang semilir. Taman ini berada di sisi barat atau masuk wilayah Kulon Progo terdapat taman. Dari sini kita bisa berfoto dengan background jembatan sekaligus bendungan yang megah. Sedang di sisi timur atau masuk wilayah Bantul terdapat sebuah sistem pengairan yang tertata canggih dan modern. Terdapat beberapa pintu-pintu air dengan kontrol elektrik. Di area taman, terdapat plaza yang besar untuk berfoto-foto, bersantai, ataupun berkumpul mengadakan kegiatan massal. Salah satu spot foto yang jadi favorit pengunjung adalah di bagian undakan tertinggi plaza dengan latar belakang tulisan â€?Bendungan Kamijoro.â€? Jika kamu ingin berkunjung ke sini membawa keluarga tak perlu khawatir, Bendungan Kamijoro sangat ramah keluarga. Tak jauh dari taman, terdapat aneka mainan anak-anak seperti ayunan, jungkat-jungkit, hingga papan luncur. Taman juga dikemas sebagai wisata edukasi bagi keluarga dengan ditanam banyak jenis buah-buahan seperti durian, kelengkeng, sawo, hingga jambu kristal. Area taman sudah dibangun untuk pedestrian sehingga sangat nyaman untuk berjalan kaki.",,
Goa Kiskendo,4.3,1446,"Alam, Budaya dan Sejarah",5000,5000,-77.471.047,"Jl. Raya Kaligesing, Sokomoyo, Jatimulyo, Girimulyo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta",1.101.310.147,"Goa beserta kisah-kisah yang menyertainya menjadi daya tarik terbesar obyek wisata ini. Goa konon sudah ditemukan 2 abad silam. Para leluhur terdahulu memanfaatkan untuk mencari ketenangan batin dan pencerahan lewat bertapa. Goa itu sepanjang 1,5 kilometer goa di dalam bumi Bukit Menoreh. Ada dua percabangan besar di dalamnya dan mengarahkan pengunjung pada bekas tempat banyak orang di masa lalu dalam melakoni pertapaan.",,
Pantai Ngrumput,4.6,1437,Pantai,10000,10000,-81.403.829,"Banjarejo, Tanjungsari, Area Hutan, Ngestirejo, Tanjungsari, Gunung Kidul, DI Yogyakarta, Indonesia",1.105.831.238,"Pantai Ngrumput memang kalah pamor dengan Parangtritis. Namun, urusan eksotisme, pantai yang terletak di Gunung Kidul itu tak bisa disepelekan begitu saja. Karena belum begitu dikenal oleh masyarakat, pantai ini seolah belum terjamah. Sehingga keindahan alamnya masih alami dan juga bersih karena terhindar dari sampah. Selain itu wisatawan yang datang kemari bisa merasakan memiliki pantai pribadi karena masih sepi pengunjung. Eksotisme pertama dari Pantai Ngrumput di mata para wisatawan adalah tepi pantainya. Seperti halnya Pantai Gunung Kidul lainnya yang terkenal dengan pasir putihnya, demikian juga dengan pantai ini. Istimewanya, banyak wisatawan tak ingin beranjak dari pasir tersebut hingga memilih untuk bermalam. Biasanya kegiatan camping itu selalu identik dengan mendaki gunung. Kali ini, tanpa perlu mendaki wisatawan dapat merasakan sensasi bermalam di bawah sinar rembulan. Kegiatan ini yang membuat Pantai Ngrumput ini makin popular di mata wisatawan.",,
Pantai Ngedan,4.4,1382,Pantai,5000,5000,-81.163.418,"Dusun Bedalo, Desa Krambil Sawit, Kec. Saptosari, Kab. Gunung Kidul, Yogyakarta",1.104.963.362,"Pantai Ngeden atau Ngedan yang terletak di Desa Krambil Sawit. Tersembunyi di balik bukit karang, pantai cantik ini memberikan kesan eksklusif bagi pengunjungnya. Terletak agak terpencil, Pantai Ngeden menyimpan keindahan alam yang masih terjaga. Berkunjung kemari memang tidak terlalu mudah karena akses jalannya yang belum maksimal. Akan tetapi, hijaunya perbukitan serta birunya laut akan memanjakan wisatawan begitu tiba di lokasi.",,
Pantai Slili,4.5,1343,Pantai,10000,10000,-81.449.664,"Jalan Pantai Krakal, Tepus, Kabupaten Gunung Kidul, Yogyakarta",1.106.028.766,"Pantai Slili merupakan pantai kecil bagian selatan Kecamatan Tepus, Kabupaten Gunungkidul. Lokasinya tepat berada di antara Pantai Krakal dan Pantai Sadranan. Ketiganya hanya dipisahkan oleh bukit karang yang bisa dijelajahi. Salah satu yang populer dari Pantai Slili adalah posisinya. Slili diapit oleh dua bukit yang berbatasan langsung dengan pantai yang jauh lebih luas. Kedua bukit ini membuat area pantai menyerupai teluk berukuran mini. Pantai Slili dikenal memiliki spot-spot cantik untuk snorkeling. Begitu juga dengan Pantai Slili yang menjadi â€?tetanggaâ€™-nya. Lantai karangnya merupakan habitat yang baik untuk biota laut. Ada penyewaan alat snorkeling serta jasa instruktur snorkeling yang bisa dicoba jika berkunjung kemari.",,
Camera House Borobudur,4.1,1304,Museum,15000,15000,-76.244.995,"Jalan Majaksingi, Kecamatan Borobudur, Magelan",1.102.027.713,Camera House Borobudur ini rumah yang dibentuk menyerupai kamera DSLR berukuran raksasa. Rumah Kamera ini adalah museum yang menampilkan hasil lukisan Pak Tanggol dan terdapat studio foto yang unik serta menarik. Kamu dapat melihat lukisan-lukisan yang indah yang terdapat di Camera House Borobudur ini.,,
Candi Kalasan,4.5,1291,Budaya dan Sejarah,5000,5000,-7.767.284,"Desa Kalibening, Tirtamani, Kabupaten Sleman, Daerah Istimewa Yogyakarta",1.104.723.505,"Candi Kalasan adalah candi yang dipersembahkan untuk Dewi Tara yang dinding luarnya dilapisi semen kuno. Candi Budha tertua di Yogyakarta ini dibangun oleh Rakai Panangkaran, raja dari dinasti Syailendra yang juga mengkonsep pendirian Borobudur.",,
Watu Goyang,4.4,1282,Alam,7000,7000,-79.274.086,"Jl. Watu Goyang No.1 Desa Mangunan, Kecamatan Imogiri, Kabupaten Bantul, Daerah Istimewa Yogyakarta",1.104.120.586,"Lantaran lokasi wisata berada di dataran tinggi tak terhalang apa pun, membuat wisatawan mudah menikmati keindahan Kota Jogja, dari atas bukit pula terlihat makam-makam para raja loh. Pemandangan alam hijau serta kegagahan gunung Merapi terlihat mempesona. Lanskap seperti itulah sangat cocok mengobati rasa penat maupun bosan setelah sobat dibuat sibuk oleh rutinitas sehari-hari.",,
Pintoe Langit Dahromo,4.4,1266,Buatan,5000,5000,-7.913.608," Jl. Dahromo, Karang Asem, Muntuk, Dlingo, Bantul, Daerah Istimewa Yogyakarta",110.437.783,"Pintu Langit Dahromo ini menyediakan berbagai spot selfie yang hitz dan instagramable dengan latar belakang panorama keindahan sebagian Kota Jogja yang istimewa. Adapun berbagai spot foto tersebut seperti spot foto rumah dengan bunga-bunga disekitarnya, pintu langit, gardu pandang yang berbentuk love, dan ada juga sayap capung.",,
Wana Tirta Mangrove Forests,4.1,1212,Agrowisata,3000,3000,-78.933.459,"Dusun Pasir Mendit, Desa Jangkaran, Kecamatan Temon, Kulonprogo",1.100.198.257,"Wana Tirta Mangrove merupakan salah satu tujuan baru terfavorit wisatawan di Yogyakarta atau lebih tepatnya di Pasirmendit, Kulon Progo. Awalnya, tempat wisata ini dibangun untuk melestarikan alam, namun kemudian banyak pengunjung yang menikmati hutan mangrove ini sebagai wisatawan. Untuk spot foto, ada jembatan Siapi-api atau jembatan bambu, ayunan, gazebo dan spot lainnya yang di hiasi dengan ornamen bunga. Selain menikmati pemandangan mangrove, pengunjung dapat menikmati tur dengan perahu disekitar area mangrove dan bermain canoe, seluruhnya tersedia dengan tambahan biaya dan dilengkapi dengan perlengkapan keamanan.",,
Museum Sandi,4.7,1182,Budaya dan Sejarah,0,0,-77.845.549,"Jl. Faridan M. Noto No. 21, Kotabaru, Gondokusuman, Kota Yogyakartaa",1.103.711.548,"Museum Sandi adalah museum satu-satunya yang menyimpan alat-alat untuk mengirim pesan rahasia. Museum ini juga merekam segala jenis persandian di Indonesia bahkan dunia, jadi jika anda yang suka memecahkan sandi maka museum ini adalah tempat yang cocok untuk anda kunjungi. Setiba anda di loby museum sandi akan disambut hangat oleh pengelola museum sandi, orang-orangnya ramah, baik dan legowo banget. Pada masa itu museum sandi ini adalah museum yang mengoleksi segala jenis benda dan alat untuk memecahkan sandi mulai dari telegraf, buku kode sandi sampai mesin-mesin sandi yang terbuat di Indonesia maupun luar negeri.",,
Bukit Teletubbies,4.1,1173,Alam,2000,2000,-78.181.275,"Desa Wukirharjo, Kec. Prambanan, Kab. Sleman, DI Yogyakarta.",110.511.764,"Wisata satu ini merupakan wisata yang lokasinya berada di pedesaan. Bukit satu ini tepatnya berada di Desa Sumberharjo, Prambanan, Kabupaten Sleman. Meski berada di pedesaan, Bukit Teletubbies Jogja ini juga sama dengan wisata lain yang memiliki ciri khas dan keunikan tersendiri. Pemandangan yang ditawarkan kawasan perbukitan ini cukup enak dipandang. Plus, kamu juga mendapatkan foto bagus dengan latar belakang perbukitan yang hijau. Bukit ini diberi nama Teletubbies karena adanya gardu panjang yang lokasinya berada di atas. Gardu ini kebetulan lokasinya berada di di timur rumah Domes. Rumah di dekat gardu ini bentuknya setengah bulat dan mirip rumah di serial Teletubbies. Sehingga, rumah itu disebut rumah Teletubbies",,
Pantai Watulawang,4.6,1166,Alam,5000,5000,-81.535.837,"Desa Tepus, Kecamatan Tepus, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta",1.106.177.335,"Seperti halnya pantai-pantai lain di Gunung Kidul pantai ini banyak terdapat karang dan ombak yang besar, namun yang menjadikannya unik, terdapat karang yang cukup besar dan bisa digunakan untuk memandang ke arah lautan, warga sekitar atau pengelola membuat jembatan yang terbuat dari bambu yang digunakan untuk menyeberang ke karang agar pengunjung dapat menuju ke atas karang dengan aman. Suasana pantai ini masih tergolong sepi, dan banyak terdapat karang-karang besar di bibir pantai, bisa anda gunakan untuk foto-foto dengan teman, pacar, atau keluarga. Pasir pantai termasuk luas dengan warna putih kecokelatan, khas pasir pantai selatan jogja. Bersebalahan langsung dengan goa watulawang.",,
Ngobaran Beach,4.6,1160,Alam,5000,5000,-81.184.844,"Jalan Ngobaran, Ngrenehan, Sapto Sari, Gebang, Kanigoro, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta",1.105.028.785,"Nama Pantai Ngobaran yang unik ini tentu tak lepas dari cerita masalalu.Kisahnya berawal dari Kerajaan Majapahit dan Kerajaan Demak.Sekitar tahun 2003 lalu, bangunan berupa gapura dan patung-patung simbol agama Hindu dan Budha didirikan. Tujuannya untuk menghormati kedatangan keturunan Raja Brawijaya V di pantai tersebut. Tak hanya gapura, prasasti dan beberapa arca saja, tapi Anda juga akan menemukan bangunan Joglo dengan aliran Kejawen.",,
Candi Banyunibo,4.5,1151,Budaya dan Sejarah,5000,5000,-77.779.014,"Dusun Cepit, Desa Bokoharjo, Prambanan, Sleman, Daerah Istimewa Yogyakarta",1.104.940.734,"Candi Banyunibo adalah candi Buddha yang berada tidak jauh dari Candi Ratu Boko, yaitu di bagian sebelah timur dari Kota Yogyakarta ke arah Kota Wonosari. Candi ini terdiri atas satu candi induk yang menghadap ke barat dan enam candi perwara yang berbentuk stupa disusun berderet, tiga candi perwara di sisi selatan dan tiga candi perwara di sisi timur candi induk. Lokasinya yang dikelilingi oleh persawahan menjadikan candi Banyunibo sebagai salah satu alternatif tempat wisata yang wajib dikunjungi. Karena selain udara di sekitar candi yang masih alami, pengunjung juga bisa mempelajari tentang kekayaan keyakinan manusia Indonesia di masa lampau.",,
Pantai Nglolang,4.3,1123,Pantai,10000,10000,-81.360.048," Kemadang, Tanjungsari, Gunung Kidul, Daerah Istimewa Yogyakarta",110.562.855,"Pantai ini sangat indah dengan pasir putih dan ombak yang bergulung-gulung dan menghempas karang ini masih terbilang sepi. Dan mengunjungi pantai yang masih sepi ini pastinya obat yang sangat manjur untuk menghilangkan kejenuhan. Setelah sehari-hari berkutat dengan kesibukan, deburan ombak yang menggulung-gulung dan menghempas karang, dan pemandangan cakrawala jauh di depan menjadi obat penetral suasana hati yang ampuh. Apalagi pemandangan di sekitar pantai ini dipercantik dengan dua tebing yang mengapit pantai.",,
